type,date,value,unit,position
WATER_PERCENT,"2025-11-27 12:25:20",43,
FAT_FREE_MASS,"2025-11-13 10:36:54",46,
"Visceral Fat","2025-11-13 10:36:54",2.1,
"Impedence 50kHz for segments","2025-11-13 10:36:54",647.0,,"Between Legs"
"Impedence 250kHz for segments","2025-11-13 10:36:54",566.0,,"Between Legs"
"Impedence 6.25kHz for segments","2025-11-13 10:36:54",768.0,,"Between Legs"
"Phase  6.25kHz segment","2025-11-13 10:36:54",-0.1,,"Between Legs"
"Phase  50kHz segment","2025-11-13 10:36:54",-0.1,,"Between Legs"
"Phase  250kHz segment","2025-11-13 10:36:54",-0.1,,"Between Legs"
"BIA Error","2025-11-13 10:36:54",0,
"Basal Metabolic Rate (BMR)","2025-11-13 10:36:54","1,390",
"Metabolic Age","2025-11-13 10:36:54",28,
FAT_PERCENT,"2025-11-13 10:36:54",34,
"Fat Free Percent","2025-11-13 10:36:54",66,
MUSCLE_PERCENT,"2025-11-13 10:36:54",62,
BONE_PERCENT,"2025-11-13 10:36:54",3,
WATER_PERCENT,"2025-11-13 10:36:54",44,
VO2MAX,"2025-11-10 17:18:32",37,
"Training Duration","2025-11-10 17:18:32","2,479",
"Training load","2025-11-10 17:18:32",42,
"PWV Reached count","2025-11-01 11:48:59","1,283",
"VA Reached count","2025-11-01 11:48:59","1,283",
FAT_FREE_MASS,"2025-11-01 11:48:59",46,
"Visceral Fat","2025-11-01 11:48:59",2.1,
"Impedence 50kHz for segments","2025-11-01 11:48:59",635.0,,"Between Legs"
"Impedence 250kHz for segments","2025-11-01 11:48:59",555.0,,"Between Legs"
"Impedence 6.25kHz for segments","2025-11-01 11:48:59",741.0,,"Between Legs"
"Phase  6.25kHz segment","2025-11-01 11:48:59",-0.1,,"Between Legs"
"Phase  50kHz segment","2025-11-01 11:48:59",-0.1,,"Between Legs"
"Phase  250kHz segment","2025-11-01 11:48:59",-0.1,,"Between Legs"
"BIA Error","2025-11-01 11:48:59",0,
"Basal Metabolic Rate (BMR)","2025-11-01 11:48:59","1,388",
"Metabolic Age","2025-11-01 11:48:59",28,
FAT_PERCENT,"2025-11-01 11:48:59",34,
"Fat Free Percent","2025-11-01 11:48:59",66,
MUSCLE_PERCENT,"2025-11-01 11:48:59",63,
BONE_PERCENT,"2025-11-01 11:48:59",3,
WATER_PERCENT,"2025-11-01 11:48:59",44,
FAT_FREE_MASS,"2025-10-03 11:20:15",45,
"Visceral Fat","2025-10-03 11:20:15",2.2,
"Impedence 50kHz for segments","2025-10-03 11:20:15",670.0,,"Between Legs"
"Impedence 250kHz for segments","2025-10-03 11:20:15",594.0,,"Between Legs"
"Impedence 6.25kHz for segments","2025-10-03 11:20:15",793.0,,"Between Legs"
"Phase  6.25kHz segment","2025-10-03 11:20:15",-0.1,,"Between Legs"
"Phase  50kHz segment","2025-10-03 11:20:15",-0.1,,"Between Legs"
"Phase  250kHz segment","2025-10-03 11:20:15",-0.1,,"Between Legs"
"BIA Error","2025-10-03 11:20:15",0,
"Basal Metabolic Rate (BMR)","2025-10-03 11:20:15","1,383",
"Metabolic Age","2025-10-03 11:20:15",28,
FAT_PERCENT,"2025-10-03 11:20:15",35,
"Fat Free Percent","2025-10-03 11:20:15",65,
MUSCLE_PERCENT,"2025-10-03 11:20:15",62,
BONE_PERCENT,"2025-10-03 11:20:15",3,
WATER_PERCENT,"2025-10-03 11:20:15",43,
"PWV Reached count","2025-09-12 09:47:40","1,284",
"VA Reached count","2025-09-12 09:47:40","1,284",
FAT_FREE_MASS,"2025-09-12 09:47:40",46,
"Visceral Fat","2025-09-12 09:47:40",2.1,
"Impedence 50kHz for segments","2025-09-12 09:47:40",625.0,,"Between Legs"
"Impedence 250kHz for segments","2025-09-12 09:47:40",553.0,,"Between Legs"
"Impedence 6.25kHz for segments","2025-09-12 09:47:40",758.0,,"Between Legs"
"Phase  6.25kHz segment","2025-09-12 09:47:40",-0.1,,"Between Legs"
"Phase  50kHz segment","2025-09-12 09:47:40",-0.1,,"Between Legs"
"Phase  250kHz segment","2025-09-12 09:47:40",-0.1,,"Between Legs"
"BIA Error","2025-09-12 09:47:40",8,
"Basal Metabolic Rate (BMR)","2025-09-12 09:47:40","1,405",
"Metabolic Age","2025-09-12 09:47:40",28,
FAT_PERCENT,"2025-09-12 09:47:40",34,
"Fat Free Percent","2025-09-12 09:47:40",66,
MUSCLE_PERCENT,"2025-09-12 09:47:40",63,
BONE_PERCENT,"2025-09-12 09:47:40",3,
WATER_PERCENT,"2025-09-12 09:47:40",44,
FAT_FREE_MASS,"2025-08-14 11:35:10",45,
"Visceral Fat","2025-08-14 11:35:10",2.2,
"Impedence 50kHz for segments","2025-08-14 11:35:10",688.0,,"Between Legs"
"Impedence 250kHz for segments","2025-08-14 11:35:10",623.0,,"Between Legs"
"Impedence 6.25kHz for segments","2025-08-14 11:35:10",798.0,,"Between Legs"
